TeamName,Manager,GivenName,FamilyName,DOB,Handed,TeamPool,PoolLength,PoolAddress
Jindalee Sharks,Tyron Cowgill,Jennifer,Follansbee,20001111,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
Jindalee Sharks,Tyron Cowgill,Barbie,Dossantos,20021030,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
Jindalee Sharks,Tyron Cowgill,Micki,Gagliardi,20020613,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
Jindalee Sharks,Tyron Cowgill,Mollie,Misner,20010224,Left,Jindalee,50,"11 Yallambee Road, Jindalee"
Jindalee Sharks,Tyron Cowgill,Robyn,Dammann,20000605,Left,Jindalee,50,"11 Yallambee Road, Jindalee"
Jindalee Sharks,Tyron Cowgill,Vanessa,Petties,20011119,Left,Jindalee,50,"11 Yallambee Road, Jindalee"
Jindalee Sharks,Tyron Cowgill,Kitty,Hepworth,20020129,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
Fortitude Fish,Heide Napper,Douglass,Abarca,20020301,Right,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Markus,Cadet,20000601,Right,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Randolph,Lamagna,20021001,Right,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Dario,Hargrove,20010424,Left,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Alfredo,Black,20001121,Left,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Carrol,Shorts,20001020,Right,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Solomon,Wachowiak,20010527,Left,Valley,50,"432 Wickham Street, Fortitude Valley"
Fortitude Fish,Heide Napper,Mitch,Stern,20011012,Left,Valley,50,"432 Wickham Street, Fortitude Valley"
Paddington Porpoises,Floyd Luedtke,Hank,Diller,20020821,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Hugo,Dunson,20010214,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Juanita,Huizar,20020709,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Doreatha,Baily,20021227,Left,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Julieta,Bach,20011205,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Molly,Petrick,20000429,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Loris,Dooley,20010507,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Mose,Nevins,20001215,Right,Ithaca,25,"131 Caxton Street, Paddington"
Paddington Porpoises,Floyd Luedtke,Preston,Plant,20010328,Right,Ithaca,25,"131 Caxton Street, Paddington"
The Wild Dugongs,Gladys Sites,Christian,Plants,20020509,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Rodrigo,Riccardi,20001028,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Brady,Isaacs,20010212,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Candi,Roquemore,20020819,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Mariana,Heasley,20001210,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Henrietta,Cravens,20010927,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Gianna,Morton,20001101,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
The Wild Dugongs,Gladys Sites,Dario,Stutts,20021003,Right,Jindalee,50,"11 Yallambee Road, Jindalee"
